date,tweets,image
2020-11-01 04:35:37,b'RT @sapnapswifu: lolita minx and niki &lt;33 BUT THEY HAVE GUNS\xf0\x9f\xa7\x8e\xf0\x9f\xa7\x8e this didn\xe2\x80\x99t really turn out how i wanted it to but oh well. after the loh i\xe2\x80\xa6',none

2020-11-01 04:35:23,b'@Lolita_14_ Yes. Yes. And yess\xf0\x9f\x98\x94',none

2020-11-01 04:35:22,b'RT @sapnapswifu: lolita minx and niki &lt;33 BUT THEY HAVE GUNS\xf0\x9f\xa7\x8e\xf0\x9f\xa7\x8e this didn\xe2\x80\x99t really turn out how i wanted it to but oh well. after the loh i\xe2\x80\xa6',none

2020-11-01 04:35:22,b'RT @sapnapswifu: lolita minx and niki &lt;33 BUT THEY HAVE GUNS\xf0\x9f\xa7\x8e\xf0\x9f\xa7\x8e this didn\xe2\x80\x99t really turn out how i wanted it to but oh well. after the loh i\xe2\x80\xa6',none

2020-11-01 04:31:39,b'RT @BelindaUtop: Lolita \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 Halloween \n@belindapop \xf0\x9f\x98\x8d\xf0\x9f\x8e\x83 https://t.co/nuk7vOwq7C',http://pbs.twimg.com/ext_tw_video_thumb/1322751295632023552/pu/img/RqYdHX-aM_u00WMf.jpg

2020-11-01 04:30:33,b'RT @sapnapswifu: lolita minx and niki &lt;33 BUT THEY HAVE GUNS\xf0\x9f\xa7\x8e\xf0\x9f\xa7\x8e this didn\xe2\x80\x99t really turn out how i wanted it to but oh well. after the loh i\xe2\x80\xa6',none

